Date,Open,High,Low,Close,Volume
2010-01-31,13.6161,13.9854,13.3041,13.5363,1150293141.3402
2010-02-28,13.5845,13.8086,13.3422,13.6992,1098255251.4656
2010-03-31,13.6916,14.2564,13.4657,14.0864,1068661837.7303
2010-04-30,14.1258,14.1629,13.5604,13.5904,1057485882.1415
2010-05-31,13.6516,13.9219,12.6684,12.8107,1570510023.9662
2010-06-30,12.871,13.196,12.1627,12.1792,1540765330.1098
2010-07-31,12.1857,13.1259,12.1043,12.9693,1106199570.3674
2010-08-31,13.0615,13.2966,12.6684,12.7033,1075242483.0826
2010-09-30,12.7928,13.7803,12.7849,13.5604,853430507.96583
2010-10-31,13.5634,13.8893,13.4103,13.7243,822273681.05528
2010-11-30,13.6936,14.118,13.5363,13.7034,953986903.1448
2010-12-31,13.7955,14.0212,13.463,13.664,969206580.54762
2011-01-31,13.7376,14.6697,13.5666,14.2079,1028217802.9575
2011-02-28,14.2824,14.3739,13.0527,13.1699,1092132779.0303
2011-03-31,13.2152,13.6516,12.9143,13.1888,1102441830.8674
2011-04-30,13.238,13.9763,13.1546,13.9301,701990143.75506
2011-05-31,13.9561,14.4026,13.8203,14.0831,768239144.13897
2011-06-30,14.0222,14.0711,13.209,13.5529,1107661440.2772
2011-07-31,13.5669,13.9783,13.4311,13.4438,776563782.02687
2011-08-31,13.4627,13.6412,12.3199,13.5669,1659873811.9347
2011-09-30,13.5698,13.6581,12.7365,13.238,1081385715.5426
2011-10-31,13.223,14.782,13.1676,14.4658,1053702236.3659
2011-11-30,14.2355,15.1497,14.1991,15.0214,870510705.47988
2011-12-31,14.9569,15.3972,14.7364,15.3366,753834189.47023
